Unnamed: 0,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,job_title_clean,employee_residence_clean,company_location_clean,log_salary_usd,remote_type,salary_class
0,2020,MI,FT,Data Scientist,70000,EUR,79833,DE,0,DE,L,Data Scientist,DE,DE,11.28770475786082,Presencial,2
1,2020,SE,FT,Machine Learning Scientist,260000,USD,260000,JP,0,JP,S,Other,Other,Other,12.468440756144114,Presencial,0
2,2020,SE,FT,Big Data Engineer,85000,GBP,109024,GB,50,GB,M,Other,GB,GB,11.599332492710968,Híbrido,2
3,2020,MI,FT,Product Data Analyst,20000,USD,20000,HN,0,HN,S,Other,Other,Other,9.90353755128617,Presencial,1
4,2020,SE,FT,Machine Learning Engineer,150000,USD,150000,US,50,US,L,Machine Learning Engineer,US,US,11.918397239722838,Híbrido,0
5,2020,EN,FT,Data Analyst,72000,USD,72000,US,100,US,L,Data Analyst,US,US,11.184435286790633,Remoto Total,1
6,2020,SE,FT,Lead Data Scientist,190000,USD,190000,US,100,US,S,Other,US,US,12.154784614286667,Remoto Total,0
7,2020,MI,FT,Data Scientist,11000000,HUF,35735,HU,50,HU,L,Data Scientist,Other,Other,10.483913863031956,Híbrido,1
8,2020,MI,FT,Business Data Analyst,135000,USD,135000,US,100,US,L,Other,US,US,11.81303746480054,Remoto Total,0
9,2020,SE,FT,Lead Data Engineer,125000,USD,125000,NZ,50,NZ,S,Other,Other,Other,11.736077016252436,Híbrido,2
10,2020,EN,FT,Data Scientist,45000,EUR,51321,FR,0,FR,S,Data Scientist,Other,Other,10.845874789131557,Presencial,1
11,2020,MI,FT,Data Scientist,3000000,INR,40481,IN,0,IN,L,Data Scientist,IN,IN,10.60861270985548,Presencial,1
12,2020,EN,FT,Data Scientist,35000,EUR,39916,FR,0,FR,M,Data Scientist,Other,Other,10.594557577300874,Presencial,1
13,2020,MI,FT,Lead Data Analyst,87000,USD,87000,US,100,US,L,Other,US,US,11.373674891823535,Remoto Total,2
14,2020,MI,FT,Data Analyst,85000,USD,85000,US,100,US,L,Data Analyst,US,US,11.350418300109132,Remoto Total,2
15,2020,MI,FT,Data Analyst,8000,USD,8000,PK,50,PK,L,Data Analyst,Other,Other,8.987321812850125,Híbrido,1
16,2020,EN,FT,Data Engineer,4450000,JPY,41689,JP,100,JP,S,Data Engineer,Other,Other,10.638016570874845,Remoto Total,1
17,2020,SE,FT,Big Data Engineer,100000,EUR,114047,PL,100,GB,S,Other,Other,GB,11.644374691390428,Remoto Total,2
18,2020,EN,FT,Data Science Consultant,423000,INR,5707,IN,50,IN,M,Other,IN,IN,8.649623978596727,Híbrido,1
19,2020,MI,FT,Lead Data Engineer,56000,USD,56000,PT,100,US,M,Other,Other,US,10.933124826700707,Remoto Total,1
20,2020,MI,FT,Machine Learning Engineer,299000,CNY,43331,CN,0,CN,M,Machine Learning Engineer,Other,Other,10.676646671065456,Presencial,1
21,2020,MI,FT,Product Data Analyst,450000,INR,6072,IN,100,IN,L,Other,IN,IN,8.711607995897575,Remoto Total,1
22,2020,SE,FT,Data Engineer,42000,EUR,47899,GR,50,GR,L,Data Engineer,Other,Other,10.776870783399009,Híbrido,1
23,2020,MI,FT,BI Data Analyst,98000,USD,98000,US,0,US,M,Other,US,US,11.49273296168228,Presencial,2
24,2020,MI,FT,Lead Data Scientist,115000,USD,115000,AE,0,AE,L,Other,Other,Other,11.652696102959752,Presencial,2
25,2020,EX,FT,Director of Data Science,325000,USD,325000,US,100,US,L,Other,US,US,12.691583538230216,Remoto Total,0
26,2020,EN,FT,Research Scientist,42000,USD,42000,NL,50,NL,L,Research Scientist,Other,Other,10.645448706505872,Híbrido,1
27,2020,SE,FT,Data Engineer,720000,MXN,33511,MX,0,MX,S,Data Engineer,Other,Other,10.419658862626871,Presencial,1
28,2020,EN,CT,Business Data Analyst,100000,USD,100000,US,100,US,L,Other,US,US,11.51293546492023,Remoto Total,2
29,2020,SE,FT,Machine Learning Manager,157000,CAD,117104,CA,50,CA,L,Other,CA,CA,11.6708262472225,Híbrido,2
30,2020,MI,FT,Data Engineering Manager,51999,EUR,59303,DE,100,DE,S,Other,DE,DE,10.990432036336555,Remoto Total,1
31,2020,EN,FT,Big Data Engineer,70000,USD,70000,US,100,US,L,Other,US,US,11.156264806643742,Remoto Total,1
32,2020,SE,FT,Data Scientist,60000,EUR,68428,GR,100,US,L,Data Scientist,Other,US,11.133551990366144,Remoto Total,1
33,2020,MI,FT,Research Scientist,450000,USD,450000,US,0,US,M,Research Scientist,US,US,13.017005083966255,Presencial,0
34,2020,MI,FT,Data Analyst,41000,EUR,46759,FR,50,FR,L,Data Analyst,Other,Other,10.752783415586006,Híbrido,1
35,2020,MI,FT,Data Engineer,65000,EUR,74130,AT,50,AT,L,Data Engineer,Other,Other,11.213589077374968,Híbrido,1
36,2020,MI,FT,Data Science Consultant,103000,USD,103000,US,100,US,L,Other,US,US,11.542493975902508,Remoto Total,2
37,2020,EN,FT,Machine Learning Engineer,250000,USD,250000,US,50,US,L,Machine Learning Engineer,US,US,12.429220196836384,Híbrido,0
38,2020,EN,FT,Data Analyst,10000,USD,10000,NG,100,NG,S,Data Analyst,Other,Other,9.210440366976515,Remoto Total,1
39,2020,EN,FT,Machine Learning Engineer,138000,USD,138000,US,100,US,S,Machine Learning Engineer,US,US,11.8350162104899,Remoto Total,0
40,2020,MI,FT,Data Scientist,45760,USD,45760,PH,100,US,S,Data Scientist,Other,US,10.731187478961756,Remoto Total,1
41,2020,EX,FT,Data Engineering Manager,70000,EUR,79833,ES,50,ES,L,Other,Other,Other,11.28770475786082,Híbrido,2
42,2020,MI,FT,Machine Learning Infrastructure Engineer,44000,EUR,50180,PT,0,PT,M,Other,Other,Other,10.823391747980118,Presencial,1
43,2020,MI,FT,Data Engineer,106000,USD,106000,US,100,US,L,Data Engineer,US,US,11.571203807011967,Remoto Total,2
44,2020,MI,FT,Data Engineer,88000,GBP,112872,GB,50,GB,L,Data Engineer,GB,GB,11.634018571846916,Híbrido,2
45,2020,EN,PT,ML Engineer,14000,EUR,15966,DE,100,DE,S,Other,DE,DE,9.678279371339702,Remoto Total,1
46,2020,MI,FT,Data Scientist,60000,GBP,76958,GB,100,GB,S,Data Scientist,GB,GB,11.251028091492175,Remoto Total,2
47,2020,SE,FT,Data Engineer,188000,USD,188000,US,100,US,L,Data Engineer,US,US,12.144202560946876,Remoto Total,0
48,2020,MI,FT,Data Scientist,105000,USD,105000,US,100,US,L,Data Scientist,US,US,11.561725152903833,Remoto Total,2
49,2020,MI,FT,Data Engineer,61500,EUR,70139,FR,50,FR,L,Data Engineer,Other,Other,11.15824852369417,Híbrido,1
50,2020,EN,FT,Data Analyst,450000,INR,6072,IN,0,IN,S,Data Analyst,IN,IN,8.711607995897575,Presencial,1
51,2020,EN,FT,Data Analyst,91000,USD,91000,US,100,US,L,Data Analyst,US,US,11.418625774449598,Remoto Total,2
52,2020,EN,FT,AI Scientist,300000,DKK,45896,DK,50,DK,S,Other,Other,Other,10.734155034435489,Híbrido,1
53,2020,EN,FT,Data Engineer,48000,EUR,54742,PK,100,DE,L,Data Engineer,Other,DE,10.910404785623465,Remoto Total,1
54,2020,SE,FL,Computer Vision Engineer,60000,USD,60000,RU,100,US,S,Other,Other,US,11.002116507732016,Remoto Total,1
55,2020,SE,FT,Principal Data Scientist,130000,EUR,148261,DE,100,DE,M,Other,DE,DE,11.906736257934911,Remoto Total,0
56,2020,MI,FT,Data Scientist,34000,EUR,38776,ES,100,ES,M,Data Scientist,Other,Other,10.565582566340604,Remoto Total,1
57,2020,MI,FT,Data Scientist,118000,USD,118000,US,100,US,M,Data Scientist,US,US,11.678448377988165,Remoto Total,2
58,2020,SE,FT,Data Scientist,120000,USD,120000,US,50,US,L,Data Scientist,US,US,11.695255355062796,Híbrido,2
59,2020,MI,FT,Data Scientist,138350,USD,138350,US,100,US,M,Data Scientist,US,US,11.837549213233764,Remoto Total,0
60,2020,MI,FT,Data Engineer,110000,USD,110000,US,100,US,L,Data Engineer,US,US,11.60824473564232,Remoto Total,2
61,2020,MI,FT,Data Engineer,130800,USD,130800,ES,100,US,M,Data Engineer,Other,US,11.781432363235949,Remoto Total,0
62,2020,EN,PT,Data Scientist,19000,EUR,21669,IT,50,IT,S,Data Scientist,Other,Other,9.983684094530403,Híbrido,1
63,2020,SE,FT,Data Scientist,412000,USD,412000,US,100,US,L,Data Scientist,US,US,12.928781055513184,Remoto Total,0
64,2020,SE,FT,Machine Learning Engineer,40000,EUR,45618,HR,100,HR,S,Machine Learning Engineer,Other,Other,10.728079575387694,Remoto Total,1
65,2020,EN,FT,Data Scientist,55000,EUR,62726,DE,50,DE,S,Data Scientist,DE,DE,11.046547255939531,Híbrido,1
66,2020,EN,FT,Data Scientist,43200,EUR,49268,DE,0,DE,S,Data Scientist,DE,DE,10.805050359005673,Presencial,1
67,2020,SE,FT,Data Science Manager,190200,USD,190200,US,100,US,M,Other,US,US,12.15583668670316,Remoto Total,0
68,2020,EN,FT,Data Scientist,105000,USD,105000,US,100,US,S,Data Scientist,US,US,11.561725152903833,Remoto Total,2
69,2020,SE,FT,Data Scientist,80000,EUR,91237,AT,0,AT,S,Data Scientist,Other,Other,11.42122675594764,Presencial,2
70,2020,MI,FT,Data Scientist,55000,EUR,62726,FR,50,LU,S,Data Scientist,Other,Other,11.046547255939531,Híbrido,1
71,2020,MI,FT,Data Scientist,37000,EUR,42197,FR,50,FR,S,Data Scientist,Other,Other,10.650128105536073,Híbrido,1
72,2021,EN,FT,Research Scientist,60000,GBP,82528,GB,50,GB,L,Research Scientist,GB,GB,11.320905025707312,Híbrido,2
73,2021,EX,FT,BI Data Analyst,150000,USD,150000,IN,100,US,L,Other,IN,US,11.918397239722838,Remoto Total,0
74,2021,EX,FT,Head of Data,235000,USD,235000,US,100,US,L,Other,US,US,12.367345048436391,Remoto Total,0
75,2021,SE,FT,Data Scientist,45000,EUR,53192,FR,50,FR,L,Data Scientist,Other,Other,10.881682087725098,Híbrido,1
76,2021,MI,FT,BI Data Analyst,100000,USD,100000,US,100,US,M,Other,US,US,11.51293546492023,Remoto Total,2
77,2021,MI,PT,3D Computer Vision Researcher,400000,INR,5409,IN,50,IN,M,Other,IN,IN,8.596004371840527,Híbrido,1
78,2021,MI,CT,ML Engineer,270000,USD,270000,US,100,US,L,Other,US,US,12.506180941677355,Remoto Total,0
79,2021,EN,FT,Data Analyst,80000,USD,80000,US,100,US,M,Data Analyst,US,US,11.289794413577894,Remoto Total,2
80,2021,SE,FT,Data Analytics Engineer,67000,EUR,79197,DE,100,DE,L,Other,DE,DE,11.279706324958417,Remoto Total,2
81,2021,MI,FT,Data Engineer,140000,USD,140000,US,100,US,L,Data Engineer,US,US,11.849404844423074,Remoto Total,0
82,2021,MI,FT,Applied Data Scientist,68000,CAD,54238,GB,50,CA,L,Other,GB,CA,10.90115548586615,Híbrido,1
83,2021,MI,FT,Machine Learning Engineer,40000,EUR,47282,ES,100,ES,S,Machine Learning Engineer,Other,Other,10.76390610184365,Remoto Total,1
84,2021,EX,FT,Director of Data Science,130000,EUR,153667,IT,100,PL,L,Other,Other,Other,11.94254971006262,Remoto Total,0
85,2021,MI,FT,Data Engineer,110000,PLN,28476,PL,100,PL,L,Data Engineer,Other,Other,10.25685202289892,Remoto Total,1
86,2021,EN,FT,Data Analyst,50000,EUR,59102,FR,50,FR,M,Data Analyst,Other,Other,10.987036963527192,Híbrido,1
87,2021,MI,FT,Data Analytics Engineer,110000,USD,110000,US,100,US,L,Other,US,US,11.60824473564232,Remoto Total,2
88,2021,SE,FT,Lead Data Analyst,170000,USD,170000,US,100,US,L,Other,US,US,12.04355959836804,Remoto Total,0
89,2021,SE,FT,Data Analyst,80000,USD,80000,BG,100,US,S,Data Analyst,Other,US,11.289794413577894,Remoto Total,2
90,2021,SE,FT,Marketing Data Analyst,75000,EUR,88654,GR,100,DK,L,Other,Other,Other,11.392507711491088,Remoto Total,2
91,2021,EN,FT,Data Science Consultant,65000,EUR,76833,DE,100,DE,S,Other,DE,DE,11.249402529502674,Remoto Total,1
92,2021,MI,FT,Lead Data Analyst,1450000,INR,19609,IN,100,IN,L,Other,IN,IN,9.883794919190391,Remoto Total,1
93,2021,SE,FT,Lead Data Engineer,276000,USD,276000,US,0,US,L,Other,US,US,12.52815976788113,Presencial,0
94,2021,EN,FT,Data Scientist,2200000,INR,29751,IN,50,IN,L,Data Scientist,IN,IN,10.300651635604906,Híbrido,1
95,2021,MI,FT,Cloud Data Engineer,120000,SGD,89294,SG,50,SG,L,Other,Other,Other,11.3997007742556,Híbrido,2
96,2021,EN,PT,AI Scientist,12000,USD,12000,BR,100,US,S,Other,Other,US,9.39274525863144,Remoto Total,1
97,2021,MI,FT,Financial Data Analyst,450000,USD,450000,US,100,US,L,Other,US,US,13.017005083966255,Remoto Total,0
98,2021,EN,FT,Computer Vision Software Engineer,70000,USD,70000,US,100,US,M,Other,US,US,11.156264806643742,Remoto Total,1
99,2021,MI,FT,Computer Vision Software Engineer,81000,EUR,95746,DE,100,US,S,Other,DE,US,11.46946457495936,Remoto Total,2
100,2021,MI,FT,Data Analyst,75000,USD,75000,US,0,US,L,Data Analyst,US,US,11.225256725762891,Presencial,1
101,2021,SE,FT,Data Engineer,150000,USD,150000,US,100,US,L,Data Engineer,US,US,11.918397239722838,Remoto Total,0
102,2021,MI,FT,BI Data Analyst,11000000,HUF,36259,HU,50,US,L,Other,Other,US,10.49847048430884,Híbrido,1
103,2021,MI,FT,Data Analyst,62000,USD,62000,US,0,US,L,Data Analyst,US,US,11.034905792929417,Presencial,1
104,2021,MI,FT,Data Scientist,73000,USD,73000,US,0,US,L,Data Scientist,US,US,11.19822841866684,Presencial,1
105,2021,MI,FT,Data Analyst,37456,GBP,51519,GB,50,GB,L,Data Analyst,GB,GB,10.849725360778235,Híbrido,1
106,2021,MI,FT,Research Scientist,235000,CAD,187442,CA,100,CA,L,Research Scientist,CA,CA,12.141230078175235,Remoto Total,0
107,2021,SE,FT,Data Engineer,115000,USD,115000,US,100,US,S,Data Engineer,US,US,11.652696102959752,Remoto Total,2
108,2021,SE,FT,Data Engineer,150000,USD,150000,US,100,US,M,Data Engineer,US,US,11.918397239722838,Remoto Total,0
109,2021,EN,FT,Data Engineer,2250000,INR,30428,IN,100,IN,L,Data Engineer,IN,IN,10.323151380044106,Remoto Total,1
110,2021,SE,FT,Machine Learning Engineer,80000,EUR,94564,DE,50,DE,L,Machine Learning Engineer,DE,DE,11.457042707722556,Híbrido,2
111,2021,SE,FT,Director of Data Engineering,82500,GBP,113476,GB,100,GB,M,Other,GB,GB,11.639355452196886,Remoto Total,2
112,2021,SE,FT,Lead Data Engineer,75000,GBP,103160,GB,100,GB,S,Other,GB,GB,11.54404615362802,Remoto Total,2
113,2021,EN,PT,AI Scientist,12000,USD,12000,PK,100,US,M,Other,Other,US,9.39274525863144,Remoto Total,1
114,2021,MI,FT,Data Engineer,38400,EUR,45391,NL,100,NL,L,Data Engineer,Other,Other,10.723091157048632,Remoto Total,1
115,2021,EN,FT,Machine Learning Scientist,225000,USD,225000,US,100,US,L,Other,US,US,12.323860125621126,Remoto Total,0
116,2021,MI,FT,Data Scientist,50000,USD,50000,NG,100,NG,L,Data Scientist,Other,Other,10.819798284210286,Remoto Total,1
117,2021,MI,FT,Data Science Engineer,34000,EUR,40189,GR,100,GR,M,Other,Other,Other,10.601373487443247,Remoto Total,1
118,2021,EN,FT,Data Analyst,90000,USD,90000,US,100,US,S,Data Analyst,US,US,11.407576060361786,Remoto Total,2
119,2021,MI,FT,Data Engineer,200000,USD,200000,US,100,US,L,Data Engineer,US,US,12.206077645517674,Remoto Total,0
120,2021,MI,FT,Big Data Engineer,60000,USD,60000,ES,50,RO,M,Other,Other,Other,11.002116507732016,Híbrido,1
121,2021,SE,FT,Principal Data Engineer,200000,USD,200000,US,100,US,M,Other,US,US,12.206077645517674,Remoto Total,0
122,2021,EN,FT,Data Analyst,50000,USD,50000,US,100,US,M,Data Analyst,US,US,10.819798284210286,Remoto Total,1
123,2021,EN,FT,Applied Data Scientist,80000,GBP,110037,GB,0,GB,L,Other,GB,GB,11.608581039664324,Presencial,2
124,2021,EN,PT,Data Analyst,8760,EUR,10354,ES,50,ES,M,Data Analyst,Other,Other,9.245224773829683,Híbrido,1
125,2021,MI,FT,Principal Data Scientist,151000,USD,151000,US,100,US,L,Other,US,US,11.92504173829169,Remoto Total,0
126,2021,SE,FT,Machine Learning Scientist,120000,USD,120000,US,50,US,S,Other,US,US,11.695255355062796,Híbrido,2
127,2021,MI,FT,Data Scientist,700000,INR,9466,IN,0,IN,S,Data Scientist,IN,IN,9.15556734612889,Presencial,1
128,2021,EN,FT,Machine Learning Engineer,20000,USD,20000,IN,100,IN,S,Machine Learning Engineer,IN,IN,9.90353755128617,Remoto Total,1
129,2021,SE,FT,Lead Data Scientist,3000000,INR,40570,IN,50,IN,L,Other,IN,IN,10.610808804651954,Híbrido,1
130,2021,EN,FT,Machine Learning Developer,100000,USD,100000,IQ,50,IQ,S,Other,Other,Other,11.51293546492023,Híbrido,2
131,2021,EN,FT,Data Scientist,42000,EUR,49646,FR,50,FR,M,Data Scientist,Other,Other,10.812693244687052,Híbrido,1
132,2021,MI,FT,Applied Machine Learning Scientist,38400,USD,38400,VN,100,US,M,Other,Other,US,10.555838779903407,Remoto Total,1
133,2021,SE,FT,Computer Vision Engineer,24000,USD,24000,BR,100,BR,M,Other,Other,Other,10.085850775128716,Remoto Total,1
134,2021,EN,FT,Data Scientist,100000,USD,100000,US,0,US,S,Data Scientist,US,US,11.51293546492023,Presencial,2
135,2021,MI,FT,Data Analyst,90000,USD,90000,US,100,US,M,Data Analyst,US,US,11.407576060361786,Remoto Total,2
136,2021,MI,FT,ML Engineer,7000000,JPY,63711,JP,50,JP,S,Other,Other,Other,11.062128206863925,Híbrido,1
137,2021,MI,FT,ML Engineer,8500000,JPY,77364,JP,50,JP,S,Other,Other,Other,11.256289760923773,Híbrido,2
138,2021,SE,FT,Principal Data Scientist,220000,USD,220000,US,0,US,L,Other,US,US,12.301387370778713,Presencial,0
139,2021,EN,FT,Data Scientist,80000,USD,80000,US,100,US,M,Data Scientist,US,US,11.289794413577894,Remoto Total,2
140,2021,MI,FT,Data Analyst,135000,USD,135000,US,100,US,L,Data Analyst,US,US,11.81303746480054,Remoto Total,0
141,2021,SE,FT,Data Science Manager,240000,USD,240000,US,0,US,L,Other,US,US,12.388398368982116,Presencial,0
142,2021,SE,FT,Data Engineering Manager,150000,USD,150000,US,0,US,L,Other,US,US,11.918397239722838,Presencial,0
143,2021,MI,FT,Data Scientist,82500,USD,82500,US,100,US,S,Data Scientist,US,US,11.320565693461432,Remoto Total,2
144,2021,MI,FT,Data Engineer,100000,USD,100000,US,100,US,L,Data Engineer,US,US,11.51293546492023,Remoto Total,2
145,2021,SE,FT,Machine Learning Engineer,70000,EUR,82744,BE,50,BE,M,Machine Learning Engineer,Other,Other,11.323518868453045,Híbrido,2
146,2021,MI,FT,Research Scientist,53000,EUR,62649,FR,50,FR,M,Research Scientist,Other,Other,11.045318960324217,Híbrido,1
147,2021,MI,FT,Data Engineer,90000,USD,90000,US,100,US,L,Data Engineer,US,US,11.407576060361786,Remoto Total,2
148,2021,SE,FT,Data Engineering Manager,153000,USD,153000,US,100,US,L,Other,US,US,11.938199736300923,Remoto Total,0
149,2021,SE,FT,Cloud Data Engineer,160000,USD,160000,BR,100,US,S,Other,Other,US,11.982935344196433,Remoto Total,0
150,2021,SE,FT,Director of Data Science,168000,USD,168000,JP,0,JP,S,Other,Other,Other,12.031725210748633,Presencial,0
151,2021,MI,FT,Data Scientist,150000,USD,150000,US,100,US,M,Data Scientist,US,US,11.918397239722838,Remoto Total,0
152,2021,MI,FT,Data Scientist,95000,CAD,75774,CA,100,CA,L,Data Scientist,CA,CA,11.235523701926004,Remoto Total,1
153,2021,EN,FT,Data Scientist,13400,USD,13400,UA,100,UA,L,Data Scientist,Other,Other,9.503084610020228,Remoto Total,1
154,2021,SE,FT,Data Science Manager,144000,USD,144000,US,100,US,L,Other,US,US,11.87757552297847,Remoto Total,0
155,2021,SE,FT,Data Science Engineer,159500,CAD,127221,CA,50,CA,L,Other,CA,CA,11.753688870907842,Híbrido,2
156,2021,MI,FT,Data Scientist,160000,SGD,119059,SG,100,IL,M,Data Scientist,Other,Other,11.68738284670738,Remoto Total,2
157,2021,MI,FT,Applied Machine Learning Scientist,423000,USD,423000,US,50,US,L,Other,US,US,12.955129822091816,Híbrido,0
158,2021,SE,FT,Data Analytics Manager,120000,USD,120000,US,100,US,M,Other,US,US,11.695255355062796,Remoto Total,2
159,2021,EN,FT,Machine Learning Engineer,125000,USD,125000,US,100,US,S,Machine Learning Engineer,US,US,11.736077016252436,Remoto Total,2
160,2021,EX,FT,Head of Data,230000,USD,230000,RU,50,RU,L,Other,Other,Other,12.345838935721968,Híbrido,0
161,2021,EX,FT,Head of Data Science,85000,USD,85000,RU,0,RU,M,Other,Other,Other,11.350418300109132,Presencial,2
162,2021,MI,FT,Data Engineer,24000,EUR,28369,MT,50,MT,L,Data Engineer,Other,Other,10.253087527802895,Híbrido,1
163,2021,EN,FT,Data Science Consultant,54000,EUR,63831,DE,50,DE,L,Other,DE,DE,11.064009910988116,Híbrido,1
164,2021,EX,FT,Director of Data Science,110000,EUR,130026,DE,50,DE,M,Other,DE,DE,11.77549740018035,Híbrido,0
165,2021,SE,FT,Data Specialist,165000,USD,165000,US,100,US,L,Other,US,US,12.013706813470414,Remoto Total,0
166,2021,EN,FT,Data Engineer,80000,USD,80000,US,100,US,L,Data Engineer,US,US,11.289794413577894,Remoto Total,2
167,2021,EX,FT,Director of Data Science,250000,USD,250000,US,0,US,L,Other,US,US,12.429220196836384,Presencial,0
168,2021,EN,FT,BI Data Analyst,55000,USD,55000,US,50,US,S,Other,US,US,10.915106645867503,Híbrido,1
169,2021,MI,FT,Data Architect,150000,USD,150000,US,100,US,L,Other,US,US,11.918397239722838,Remoto Total,0
170,2021,MI,FT,Data Architect,170000,USD,170000,US,100,US,L,Other,US,US,12.04355959836804,Remoto Total,0
171,2021,MI,FT,Data Engineer,60000,GBP,82528,GB,100,GB,L,Data Engineer,GB,GB,11.320905025707312,Remoto Total,2
172,2021,EN,FT,Data Analyst,60000,USD,60000,US,100,US,S,Data Analyst,US,US,11.002116507732016,Remoto Total,1
173,2021,SE,FT,Principal Data Scientist,235000,USD,235000,US,100,US,L,Other,US,US,12.367345048436391,Remoto Total,0
174,2021,SE,FT,Research Scientist,51400,EUR,60757,PT,50,PT,L,Research Scientist,Other,Other,11.01465403977559,Híbrido,1
175,2021,SE,FT,Data Engineering Manager,174000,USD,174000,US,100,US,L,Other,US,US,12.066816325306588,Remoto Total,0
176,2021,MI,FT,Data Scientist,58000,MXN,2859,MX,0,MX,S,Data Scientist,Other,Other,7.958576903813898,Presencial,1
177,2021,MI,FT,Data Scientist,30400000,CLP,40038,CL,100,CL,L,Data Scientist,Other,Other,10.597609258092302,Remoto Total,1
178,2021,EN,FT,Machine Learning Engineer,81000,USD,81000,US,50,US,S,Machine Learning Engineer,US,US,11.302216779257382,Híbrido,2
179,2021,MI,FT,Data Scientist,420000,INR,5679,IN,100,US,S,Data Scientist,IN,US,8.644706511715198,Remoto Total,1
180,2021,MI,FT,Big Data Engineer,1672000,INR,22611,IN,0,IN,L,Other,IN,IN,10.02623601779518,Presencial,1
181,2021,MI,FT,Data Scientist,76760,EUR,90734,DE,50,DE,L,Data Scientist,DE,DE,11.415698449209124,Híbrido,2
182,2021,MI,FT,Data Engineer,22000,EUR,26005,RO,0,US,L,Data Engineer,Other,US,10.166082559611263,Presencial,1
183,2021,SE,FT,Finance Data Analyst,45000,GBP,61896,GB,50,GB,L,Other,GB,GB,11.033226992231649,Híbrido,1
184,2021,MI,FL,Machine Learning Scientist,12000,USD,12000,PK,50,PK,M,Other,Other,Other,9.39274525863144,Híbrido,1
185,2021,MI,FT,Data Engineer,4000,USD,4000,IR,100,IR,M,Data Engineer,Other,Other,8.294299608857235,Remoto Total,1
186,2021,SE,FT,Data Analytics Engineer,50000,USD,50000,VN,100,GB,M,Other,Other,GB,10.819798284210286,Remoto Total,1
187,2021,EX,FT,Data Science Consultant,59000,EUR,69741,FR,100,ES,S,Other,Other,Other,11.152557997765095,Remoto Total,1
188,2021,SE,FT,Data Engineer,65000,EUR,76833,RO,50,GB,S,Data Engineer,Other,GB,11.249402529502674,Híbrido,1
189,2021,MI,FT,Machine Learning Engineer,74000,USD,74000,JP,50,JP,S,Machine Learning Engineer,Other,Other,11.211833885608511,Híbrido,1
190,2021,SE,FT,Data Science Manager,152000,USD,152000,US,100,FR,L,Other,US,Other,11.93164237875414,Remoto Total,0
191,2021,EN,FT,Machine Learning Engineer,21844,USD,21844,CO,50,CO,M,Machine Learning Engineer,Other,Other,9.991727341385536,Híbrido,1
192,2021,MI,FT,Big Data Engineer,18000,USD,18000,MD,0,MD,S,Other,Other,Other,9.798182590890704,Presencial,1
193,2021,SE,FT,Data Science Manager,174000,USD,174000,US,100,US,L,Other,US,US,12.066816325306588,Remoto Total,0
194,2021,SE,FT,Research Scientist,120500,CAD,96113,CA,50,CA,L,Research Scientist,CA,CA,11.473290265929538,Híbrido,2
195,2021,MI,FT,Data Scientist,147000,USD,147000,US,50,US,L,Data Scientist,US,US,11.898194668458824,Híbrido,0
196,2021,EN,FT,BI Data Analyst,9272,USD,9272,KE,100,KE,S,Other,Other,Other,9.134862230800223,Remoto Total,1
197,2021,SE,FT,Machine Learning Engineer,1799997,INR,24342,IN,100,IN,L,Machine Learning Engineer,IN,IN,10.09999961284942,Remoto Total,1
198,2021,SE,FT,Data Science Manager,4000000,INR,54094,IN,50,US,L,Other,IN,US,10.898497039121674,Híbrido,1
199,2021,EN,FT,Data Science Consultant,90000,USD,90000,US,100,US,S,Other,US,US,11.407576060361786,Remoto Total,2
200,2021,MI,FT,Data Scientist,52000,EUR,61467,DE,50,AT,M,Data Scientist,DE,Other,11.026271993175223,Híbrido,1
